"Code.U2A","Libellé.U2A","Action.menée","Adresse","latitude","longitude","result_address","result_score","result_type","result_id","Code.INSEE","Code.Postal","Commune","Departement","Region","Statut","Altitude.Moyenne","Superficie","Population","geo_point_2d","geo_shape","ID.Geogla","Code.Commune","Code.Canton","Code.Arrondissement","Code.Departement","Code.Region","lat","long"
"U12","DD de l'Aveyron","Distribution de chèques","  2 place des toiles 12000 Rodez",44.347684,2.574575,"2 Place des Toiles 12000 Rodez",0.93,"housenumber","12202_1910_c9040a","12202","12000","RODEZ","AVEYRON","MIDI-PYRENEES","Préfecture",565,1130,24.4,"44.3582426254, 2.5672793892","{""type"": ""Polygon"", ""coordinates"": [[[2.568700802906645, 44.34060538315292], [2.53973784498407, 44.360822893278566], [2.53359912737248, 44.37032993015559], [2.535651007212707, 44.37721598510856], [2.556688447697158, 44.370578364680846], [2.570751125181196, 44.369643903268354], [2.577275200446471, 44.36481720493648], [2.601635963762684, 44.357049570304795], [2.60509273889472, 44.3453238517128], [2.597082055340356, 44.34639301185121], [2.589056315365558, 44.34949591095857], [2.568700802906645, 44.34060538315292]]]}",34639,202,98,2,"12",73,44.3582426254,2.5672793892
"U1201","Samu social de Rodez","Samu social","60 TER ROUTE DE LA MOULINE   12350 OLEMPS",44.333007,2.558976,"60TER La Mouline 12510 Olemps",0.52,"housenumber","12174_B035_6b89a7","12174","12510","OLEMPS","AVEYRON","MIDI-PYRENEES","Commune simple",583,1276,3.1,"44.338471851, 2.54774198749","{""type"": ""Polygon"", ""coordinates"": [[[2.567732890363256, 44.316216265951766], [2.554640184200783, 44.32463450244215], [2.540304766749574, 44.323432323586864], [2.523025142696925, 44.33542093089218], [2.52417346019295, 44.35549968463169], [2.530365561146471, 44.36073829278249], [2.53973784498407, 44.360822893278566], [2.568700802906645, 44.34060538315292], [2.578409921257371, 44.32194669091851], [2.575759902084225, 44.31917302404362], [2.567732890363256, 44.316216265951766]]]}",12145,174,45,2,"12",73,44.338471851,2.54774198749
"U1202","Centre de distribution de Rodez","Centre de Distribution Alimentaire","9 Boulevard Denys Puech   12000 RODEZ",44.350059,2.578036,"9 Boulevard Denys Puech 12000 Rodez",0.94,"housenumber","12202_0550_34544b","12202","12000","RODEZ","AVEYRON","MIDI-PYRENEES","Préfecture",565,1130,24.4,"44.3582426254, 2.5672793892","{""type"": ""Polygon"", ""coordinates"": [[[2.568700802906645, 44.34060538315292], [2.53973784498407, 44.360822893278566], [2.53359912737248, 44.37032993015559], [2.535651007212707, 44.37721598510856], [2.556688447697158, 44.370578364680846], [2.570751125181196, 44.369643903268354], [2.577275200446471, 44.36481720493648], [2.601635963762684, 44.357049570304795], [2.60509273889472, 44.3453238517128], [2.597082055340356, 44.34639301185121], [2.589056315365558, 44.34949591095857], [2.568700802906645, 44.34060538315292]]]}",34639,202,98,2,"12",73,44.3582426254,2.5672793892
"U1203","Distribution CAP de Millau","Distribution de chèques","16 Bd de l'Ayrolle   12100 Millau",44.098716,3.076864,"16 Boulevard de l'Ayrolle 12100 Millau",0.72,"housenumber","12145_0170_226a8b","12145","12100","MILLAU","AVEYRON","MIDI-PYRENEES","Sous-préfecture",688,17008,22,"44.0976252203, 3.11705384129","{""type"": ""Polygon"", ""coordinates"": [[[3.228261317287612, 44.03719175787526], [3.218705079144416, 44.03730127040285], [3.194164832403608, 44.048336740507374], [3.185009507411685, 44.04953161885956], [3.161763764680118, 44.019535087445064], [3.147436212046197, 44.0206803333041], [3.125825709642963, 44.028222353774765], [3.10903044296804, 44.032029404590226], [3.104137540403861, 44.04417531871986], [3.103682088258227, 44.05444494166105], [3.078026324983754, 44.083735084369245], [3.065996262082232, 44.08946721387523], [3.052395070304747, 44.08692746254949], [3.035728857693726, 44.093000410003796], [3.01605730380463, 44.08387869996344], [3.007881467965002, 44.103023398465986], [2.994716506043557, 44.10342857371393], [2.99436610461218, 44.1101608882409], [2.9923028118761, 44.125767626449516], [3.002687047979335, 44.13697356440772], [3.013699154848182, 44.14303014824991], [3.007700767180915, 44.15220238633568], [3.008955237217185, 44.1797895215052], [3.032271481011796, 44.162359684619105], [3.067121317292636, 44.15400025242896], [3.070234550062544, 44.14414259006266], [3.080719305799801, 44.13371267433877], [3.099461866988997, 44.13187015636643], [3.112225271879441, 44.133990971637566], [3.120527930226677, 44.14200169784483], [3.118546950706458, 44.15104950611739], [3.128425753785276, 44.15791490626405], [3.150208220796202, 44.14961560829615], [3.179289472234307, 44.147114738769005], [3.188151451644435, 44.13936833793074], [3.193605798541542, 44.11147510467306], [3.212867524901027, 44.091053367721095], [3.211030344413873, 44.077187359789136], [3.21842109561058, 44.06410443505562], [3.226236775806025, 44.05517832177136], [3.244421829275853, 44.0497571062846], [3.243545489109138, 44.04326092347229], [3.228261317287612, 44.03719175787526]]]}",4925,145,97,1,"12",73,44.0976252203,3.11705384129
"U1204","Distribution CAP de Villefranche de Roue","Distribution de chèques","  18 Bd Charles de Gaulle 12200 Villefranche de Rouergue",44.351068,2.034794,"18 Boulevard Charles de Gaulle 12200 Villefranche-de-Rouergue",0.8,"housenumber","12300_XXXX_a6e854","12300","12200","VILLEFRANCHE-DE-ROUERGUE","AVEYRON","MIDI-PYRENEES","Sous-préfecture",349,4574,12.2,"44.3499160171, 2.03103287572","{""type"": ""Polygon"", ""coordinates"": [[[2.05020717658015, 44.31086690486796], [2.030792284175531, 44.30543130180889], [2.017637506576113, 44.3056926474989], [2.016465689185333, 44.31543142540098], [1.99624862102281, 44.32919310456854], [1.987398787186967, 44.33175864266885], [1.975804596125066, 44.34247201483484], [1.985622962234551, 44.3489905990327], [1.983115662549359, 44.35517904852367], [1.985634558088884, 44.361656965573324], [1.99861806009219, 44.37183148129457], [2.021502516330778, 44.37665548086989], [2.026678557220405, 44.38587477625602], [2.044481237908555, 44.384302255341794], [2.065190024602324, 44.38912522982453], [2.063505871246784, 44.379370400425486], [2.077672690012443, 44.37118089759534], [2.082951886659418, 44.36215975930929], [2.080272571028747, 44.35715018219682], [2.075486316516639, 44.35673198661624], [2.072622427014547, 44.33622798300564], [2.064428724629559, 44.33262977800608], [2.045262663266925, 44.33349135092686], [2.041346265843332, 44.33145881657398], [2.045685636169302, 44.31209704674574], [2.05020717658015, 44.31086690486796]]]}",14243,300,42,3,"12",73,44.3499160171,2.03103287572
"U1301","Centre de distribution d'Arles","Centre de Distribution Alimentaire","2bis rue Condorcet   13200 Arles",43.67966,4.632514,"Rue Condorcet 13200 Arles",0.78,"street","13004_0950_ec9257","30117","30300","FOURQUES","GARD","LANGUEDOC-ROUSSILLON","Commune simple",3,3835,2.9,"43.7116543785, 4.54884323842","{""type"": ""Polygon"", ""coordinates"": [[[4.612276030935795, 43.7247545845323], [4.614312798617784, 43.71072004316648], [4.626948582513934, 43.691676558520214], [4.626810734124481, 43.68813258229845], [4.622154410657094, 43.68706809680264], [4.5982198020927, 43.68669332228002], [4.57878339155226, 43.69696709881658], [4.559585498118219, 43.69939493778415], [4.537784562808973, 43.70704017200726], [4.524687988357563, 43.702553455579896], [4.500285912552731, 43.702055604547944], [4.486408174946224, 43.698853096144965], [4.46393036832119, 43.709012598646616], [4.473399855699407, 43.72890964900775], [4.479939681582182, 43.73368095613857], [4.495265161194983, 43.725470548861885], [4.524149136700775, 43.727059027964025], [4.532794129187447, 43.73010569822395], [4.58403870654026, 43.724629092138116], [4.612276030935795, 43.7247545845323]]]}",21570,117,9,2,"30",91,43.7116543785,4.54884323842
"U1302","Centre de distribution Aix en Provence","Centre de Distribution Alimentaire","32, Cours DES ARTS ET METIERS   13100 Aix en Provence",43.529836,5.453908,"32 Cours des Arts et Métiers 13100 Aix-en-Provence",0.93,"housenumber","13001_0130_10298b","13001","13080/13090/13100/13290/13540","AIX-EN-PROVENCE","BOUCHES-DU-RHONE","PROVENCE-ALPES-COTE D'AZUR","Sous-préfecture",236,18759,141.9,"43.5360708378, 5.39857444582","{""type"": ""Polygon"", ""coordinates"": [[[5.301002589064487, 43.446114936595045], [5.298483447817306, 43.45912014166257], [5.289915030001163, 43.4664209716371], [5.289305152894978, 43.47313929640353], [5.271657922982974, 43.48567937952667], [5.269571894227765, 43.495461784468105], [5.291801363625438, 43.512815860188134], [5.294161903103133, 43.51958864644784], [5.306781274750302, 43.51504557399661], [5.334287056175849, 43.51929068700474], [5.348489862538126, 43.53631136766636], [5.353078151296627, 43.535356845790574], [5.360388534510221, 43.539527672336725], [5.373639465300958, 43.54159697258545], [5.381736685108345, 43.56438222155725], [5.357502581819215, 43.58858516773918], [5.334503639199972, 43.59279961316724], [5.340577666414934, 43.59779077435936], [5.356852471345463, 43.603208911118976], [5.366322666316932, 43.61837800908917], [5.365338311584773, 43.6248537399574], [5.411258165812632, 43.622674235347056], [5.444232052261843, 43.6220815510641], [5.463795498283422, 43.613645829396354], [5.465090468146154, 43.57632119718141], [5.493953579853799, 43.566651101424284], [5.4974700218746, 43.56040394918012], [5.480426897839386, 43.536390980215145], [5.483114279738093, 43.53358399973296], [5.50630302329369, 43.532213650854594], [5.504571303335343, 43.5291030353668], [5.487468484003867, 43.52441959157315], [5.478661524445037, 43.525017247040914], [5.47950920131956, 43.51255771436222], [5.471441000141422, 43.51188671952746], [5.464782977867767, 43.50343285342143], [5.465241407724793, 43.49711245590296], [5.470883561927316, 43.49202427438368], [5.469146867785413, 43.489012382594154], [5.457415025614134, 43.47890947961258], [5.441786111562771, 43.47152166932406], [5.433593644617256, 43.473605155354555], [5.406891414357507, 43.47051996845833], [5.387538063190512, 43.46190210537749], [5.359344064117286, 43.47977418093231], [5.332813959530307, 43.48758500736634], [5.321151375148569, 43.48164277216635], [5.32750784439473, 43.46126384545828], [5.301002589064487, 43.446114936595045]]]}",13666,1,97,1,"13",93,43.5360708378,5.39857444582
"U1303","Samu social d'Aix en Provence","Samu social","32 cours des Arts et Métiers Délégation locale d'Aix en Prove  13100 Aix en Provence",43.529742,5.447427,"",NA,"","","13001","13080/13090/13100/13290/13540","AIX-EN-PROVENCE","BOUCHES-DU-RHONE","PROVENCE-ALPES-COTE D'AZUR","Sous-préfecture",236,18759,141.9,"43.5360708378, 5.39857444582","{""type"": ""Polygon"", ""coordinates"": [[[5.301002589064487, 43.446114936595045], [5.298483447817306, 43.45912014166257], [5.289915030001163, 43.4664209716371], [5.289305152894978, 43.47313929640353], [5.271657922982974, 43.48567937952667], [5.269571894227765, 43.495461784468105], [5.291801363625438, 43.512815860188134], [5.294161903103133, 43.51958864644784], [5.306781274750302, 43.51504557399661], [5.334287056175849, 43.51929068700474], [5.348489862538126, 43.53631136766636], [5.353078151296627, 43.535356845790574], [5.360388534510221, 43.539527672336725], [5.373639465300958, 43.54159697258545], [5.381736685108345, 43.56438222155725], [5.357502581819215, 43.58858516773918], [5.334503639199972, 43.59279961316724], [5.340577666414934, 43.59779077435936], [5.356852471345463, 43.603208911118976], [5.366322666316932, 43.61837800908917], [5.365338311584773, 43.6248537399574], [5.411258165812632, 43.622674235347056], [5.444232052261843, 43.6220815510641], [5.463795498283422, 43.613645829396354], [5.465090468146154, 43.57632119718141], [5.493953579853799, 43.566651101424284], [5.4974700218746, 43.56040394918012], [5.480426897839386, 43.536390980215145], [5.483114279738093, 43.53358399973296], [5.50630302329369, 43.532213650854594], [5.504571303335343, 43.5291030353668], [5.487468484003867, 43.52441959157315], [5.478661524445037, 43.525017247040914], [5.47950920131956, 43.51255771436222], [5.471441000141422, 43.51188671952746], [5.464782977867767, 43.50343285342143], [5.465241407724793, 43.49711245590296], [5.470883561927316, 43.49202427438368], [5.469146867785413, 43.489012382594154], [5.457415025614134, 43.47890947961258], [5.441786111562771, 43.47152166932406], [5.433593644617256, 43.473605155354555], [5.406891414357507, 43.47051996845833], [5.387538063190512, 43.46190210537749], [5.359344064117286, 43.47977418093231], [5.332813959530307, 43.48758500736634], [5.321151375148569, 43.48164277216635], [5.32750784439473, 43.46126384545828], [5.301002589064487, 43.446114936595045]]]}",13666,1,97,1,"13",93,43.5360708378,5.39857444582
"U1304","Centre de distribution de Rognac","Centre de Distribution Alimentaire","60 BOULEVARD JEAN JAURES   13340 ROGNAC",43.48796,5.228595,"60 Boulevard Jean Jaurès 13340 Rognac",0.92,"housenumber","13081_4200_23af51","13081","13340","ROGNAC","BOUCHES-DU-RHONE","PROVENCE-ALPES-COTE D'AZUR","Commune simple",74,1763,11.9,"43.4971347324, 5.23106220021","{""type"": ""Polygon"", ""coordinates"": [[[5.271657922982974, 43.48567937952667], [5.258259098748526, 43.48318711489055], [5.250033886247596, 43.475158656867336], [5.223417703213311, 43.47912802021434], [5.218432922471416, 43.487357548960155], [5.202793615675097, 43.49117758927303], [5.194571836169105, 43.50313491466399], [5.204410374114975, 43.514636118441246], [5.206463451733484, 43.524621094142326], [5.269571894227765, 43.495461784468105], [5.271657922982974, 43.48567937952667]]]}",15606,81,6,4,"13",93,43.4971347324,5.23106220021
"U1305","Centre de distribution d'Aubagne","Centre de Distribution Alimentaire","14 rue d'Isly   13400 AUBAGNE",43.290072,5.57091,"Rue d'Isly 13400 Aubagne",0.82,"street","13005_0960_fc0acc","13005","13400","AUBAGNE","BOUCHES-DU-RHONE","PROVENCE-ALPES-COTE D'AZUR","Chef-lieu canton",194,5484,46.6,"43.2934843764, 5.56331273477","{""type"": ""Polygon"", ""coordinates"": [[[5.519641387315469, 43.244327867749924], [5.513050392497731, 43.263444248590574], [5.514442579264482, 43.26769584017153], [5.523500738923848, 43.267268604314026], [5.53121124737897, 43.27037322047606], [5.530406754482057, 43.280391191627494], [5.518421010896978, 43.288015348118265], [5.530284973035355, 43.29867346964723], [5.522810628113824, 43.320763993486246], [5.548464101916268, 43.335823270335766], [5.566388688429506, 43.335174346984445], [5.609636723802796, 43.32383340521868], [5.607022026690479, 43.2930153363852], [5.615335941480189, 43.27012425657797], [5.599100456691615, 43.26489092719754], [5.586624498015836, 43.26681046338862], [5.57955811886626, 43.27018353689736], [5.570903431979027, 43.267509796034695], [5.545090740817066, 43.25331597437557], [5.547209048749204, 43.24663303611436], [5.519641387315469, 43.244327867749924]]]}",8124,5,94,3,"13",93,43.2934843764,5.56331273477
"U1306","Centre de distribution de Chateaurenard","Centre de Distribution Alimentaire","14 Bd Gambetta   13160 CHATEAURENARD",43.884929,4.854566,"14 Boulevard Gambetta 13160 Châteaurenard",0.73,"housenumber","13027_0400_2a2b74","13027","13160","CHATEAURENARD","BOUCHES-DU-RHONE","PROVENCE-ALPES-COTE D'AZUR","Chef-lieu canton",32,3487,15,"43.8824707581, 4.83990004648","{""type"": ""Polygon"", ""coordinates"": [[[4.805075570230069, 43.85417973009612], [4.791022050421954, 43.85228700073362], [4.788022147232538, 43.85500063250352], [4.797250013536148, 43.86639793100923], [4.801056862725914, 43.87980152173608], [4.81503786497816, 43.888976671749454], [4.818427464126139, 43.89535649427115], [4.811893953171943, 43.90404378629481], [4.810973563902835, 43.91427609441181], [4.854805285516451, 43.91079487220422], [4.881334787508861, 43.90156413106243], [4.878758157261687, 43.87018303490746], [4.881857597154235, 43.86002067056962], [4.843187438504859, 43.86027569847132], [4.805075570230069, 43.85417973009612]]]}",17947,27,7,2,"13",93,43.8824707581,4.83990004648
"U1307","Centre distribution d'Istres","Centre de Distribution Alimentaire","66, Avenue Guynemer   13800 ISTRES",43.51806,4.969939,"66 Avenue Georges Guynemer 13800 Istres",0.75,"housenumber","13047_0380_d5eb3e","13047","13800","ISTRES","BOUCHES-DU-RHONE","PROVENCE-ALPES-COTE D'AZUR","Sous-préfecture",34,11442,42.5,"43.5502689105, 4.9511813524","{""type"": ""Polygon"", ""coordinates"": [[[5.006007553349622, 43.469671210411526], [5.001471385571892, 43.46892709186057], [4.988078264424628, 43.47826324994013], [4.975898881157651, 43.47413007556088], [4.962223327961786, 43.476070409209434], [4.956122389956373, 43.485630292528796], [4.928669800612378, 43.51065522028741], [4.8818120904084, 43.541447351101766], [4.889743433534335, 43.55426037464736], [4.883109644915932, 43.57837862531725], [4.885631238104194, 43.58881098851295], [4.918347455963322, 43.61481596772448], [4.922604443267195, 43.61653180890064], [4.941029580190569, 43.62103749748528], [4.945895912681021, 43.62095946853817], [4.95454937222511, 43.61276672572029], [4.978382126979224, 43.61633163795195], [4.980134685325548, 43.606093105949654], [4.970716306198081, 43.59909999358726], [5.004219401259197, 43.5654914658145], [5.004160332947293, 43.55210014033887], [5.009774669596695, 43.55623545703047], [5.014440811193737, 43.555545945830204], [5.015529553140394, 43.52768810591144], [5.002876950689, 43.51318035367135], [4.998849823755379, 43.502994703476105], [5.003366063740991, 43.48216671142805], [5.000633769389205, 43.47539534954488], [5.006007553349622, 43.469671210411526]]]}",11515,47,95,4,"13",93,43.5502689105,4.9511813524
"U1308","Epicerie sociale de Marignane","Epicerie sociale","11 rue Lamartine   13700 MARIGNANE",43.416059,5.219991,"11 Rue Lamartine 13700 Marignane",0.93,"housenumber","13054_0600_9321bd","13054","13700","MARIGNANE","BOUCHES-DU-RHONE","PROVENCE-ALPES-COTE D'AZUR","Chef-lieu canton",14,2355,34.2,"43.4172068362, 5.21221904548","{""type"": ""Polygon"", ""coordinates"": [[[5.196082554283231, 43.39254656026005], [5.188784395357286, 43.39599728540813], [5.185467830403625, 43.405514078946375], [5.171915790170613, 43.41863853213168], [5.198607369536499, 43.4395920095445], [5.200040886036578, 43.44639400354629], [5.211921275671127, 43.4456751064863], [5.220468078118948, 43.4491633732372], [5.239008376150432, 43.42308625465833], [5.230193467627864, 43.42153111106112], [5.227194562497718, 43.41901880589125], [5.229302711613283, 43.4160684139248], [5.254468681523893, 43.409238352484266], [5.263899952136788, 43.402012509898825], [5.196082554283231, 43.39254656026005]]]}",2601,54,36,4,"13",93,43.4172068362,5.21221904548
"U1309","Centre distribution de La Ciotat","Centre de Distribution Alimentaire","4, Rue DES CAPUCINES   13600 La Ciotat",43.176872,5.607173,"4 Rue des Capucines 13600 La Ciotat",0.92,"housenumber","13028_0330_ae9f88","13028","13600","LA CIOTAT","BOUCHES-DU-RHONE","PROVENCE-ALPES-COTE D'AZUR","Chef-lieu canton",101,3224,33.8,"43.1926410861, 5.61318955778","{""type"": ""Polygon"", ""coordinates"": [[[5.671875005699276, 43.17926878690492], [5.646046030187286, 43.18805043787758], [5.622600831194647, 43.18556304190845], [5.612853536704548, 43.178077801926264], [5.61053838071739, 43.167937232131806], [5.60477920340556, 43.16237075291583], [5.570419670605065, 43.174570643957296], [5.555549394162525, 43.18837832157925], [5.565660333793261, 43.20030586248183], [5.578418059401073, 43.20500561400277], [5.592460222402885, 43.21880797921947], [5.617128066679571, 43.20945563737417], [5.626565914890826, 43.20919933228827], [5.637513494882461, 43.20293830015361], [5.648477034876351, 43.208609783330004], [5.656960855521459, 43.20553919498101], [5.666256717787275, 43.206218909515826], [5.678383423836427, 43.216727835746596], [5.675955985550104, 43.190642626089065], [5.671875005699276, 43.17926878690492]]]}",22998,28,8,3,"13",93,43.1926410861,5.61318955778
"U1310","Samu social de la Ciotat","Samu social","    ",43.173653,5.605155,"",NA,"","","13028","13600","LA CIOTAT","BOUCHES-DU-RHONE","PROVENCE-ALPES-COTE D'AZUR","Chef-lieu canton",101,3224,33.8,"43.1926410861, 5.61318955778","{""type"": ""Polygon"", ""coordinates"": [[[5.671875005699276, 43.17926878690492], [5.646046030187286, 43.18805043787758], [5.622600831194647, 43.18556304190845], [5.612853536704548, 43.178077801926264], [5.61053838071739, 43.167937232131806], [5.60477920340556, 43.16237075291583], [5.570419670605065, 43.174570643957296], [5.555549394162525, 43.18837832157925], [5.565660333793261, 43.20030586248183], [5.578418059401073, 43.20500561400277], [5.592460222402885, 43.21880797921947], [5.617128066679571, 43.20945563737417], [5.626565914890826, 43.20919933228827], [5.637513494882461, 43.20293830015361], [5.648477034876351, 43.208609783330004], [5.656960855521459, 43.20553919498101], [5.666256717787275, 43.206218909515826], [5.678383423836427, 43.216727835746596], [5.675955985550104, 43.190642626089065], [5.671875005699276, 43.17926878690492]]]}",22998,28,8,3,"13",93,43.1926410861,5.61318955778
"U1311","Centre distribution Marseille Belle de M","Centre de Distribution Alimentaire","8 rue Fortuné Jourdan   13003 MARSEILLE 3EME ARRONDISSE",43.310847,5.385422,"8 Rue Fortune Jourdan 13003 Marseille",0.66,"housenumber","13203_3647_f73e19","13203","13003","MARSEILLE--3E--ARRONDISSEMENT","BOUCHES-DU-RHONE","PROVENCE-ALPES-COTE D'AZUR","Commune simple",25,254,45.4,"43.3121200046, 5.38010981423","{""type"": ""Polygon"", ""coordinates"": [[[5.375021899598046, 43.30159390045778], [5.369125126911182, 43.31672594361934], [5.371580488653522, 43.32008305182218], [5.39318428115543, 43.316412029412255], [5.390502166127308, 43.30939746657357], [5.375021899598046, 43.30159390045778]]]}",36591,203,99,3,"13",93,43.3121200046,5.38010981423
"U1312","Centre distrib de Marseille Simone Sedan","Centre de Distribution Alimentaire","90 boulevard Baille   13005 MARSEILLE 5EME ARRONDISSE",43.287531,5.390292,"90 Boulevard Baille 13005 Marseille",0.66,"housenumber","13205_0693_6f2487","13206","13006","MARSEILLE--6E--ARRONDISSEMENT","BOUCHES-DU-RHONE","PROVENCE-ALPES-COTE D'AZUR","Commune simple",41,206,43.3,"43.2870989546, 5.38104785394","{""type"": ""Polygon"", ""coordinates"": [[[5.373816144133317, 43.279193231831556], [5.372144736531373, 43.290965444448595], [5.380357790047036, 43.29294477171], [5.381847823036012, 43.295908846993086], [5.385563774200395, 43.29429693114428], [5.391944697791542, 43.28476018297098], [5.388736591930501, 43.28314821474665], [5.373816144133317, 43.279193231831556]]]}",36594,206,99,3,"13",93,43.2870989546,5.38104785394
"U1313","Centre de distribution de Martigues","Centre de Distribution Alimentaire","Place Henri Dunant   13500 Martigues",43.409003,5.039831,"Place Henri Dunant, BLC LES FOULETTES BLOC G 13500 Martigues",0.53,"locality","13056_A030_2a16bf","13056","13500","MARTIGUES","BOUCHES-DU-RHONE","PROVENCE-ALPES-COTE D'AZUR","Chef-lieu canton",48,7448,46.6,"43.3798920489, 5.04945402314","{""type"": ""Polygon"", ""coordinates"": [[[5.088464740673092, 43.33253643103284], [5.081483596064985, 43.327658580180135], [5.067742734401952, 43.33084685653287], [5.054588457451406, 43.326670107123036], [5.036516296184021, 43.33080948342829], [5.016841734784764, 43.343128672779585], [5.025841379014397, 43.35572102561925], [5.016589928282893, 43.35742369111279], [4.999269486620435, 43.38001771473109], [4.986249899538662, 43.39315314313484], [5.000949633385761, 43.3999648206872], [4.995505462629874, 43.40348500705678], [5.004519794848772, 43.40466838948504], [5.006921285425335, 43.42787825650958], [5.014337921571777, 43.43127738071241], [5.023449428684287, 43.42982063691813], [5.021420723098019, 43.43288234757668], [5.03905799989293, 43.437141581022004], [5.0450083230195, 43.442285205455676], [5.054235546155293, 43.44300161547134], [5.061164165649877, 43.42230587161218], [5.059948928010156, 43.404914958281466], [5.072218868394031, 43.4001361001444], [5.09638202520383, 43.40140783165054], [5.103034410186827, 43.38856251965643], [5.09989681607897, 43.38204484855891], [5.10298936588767, 43.36233022350762], [5.102090321229063, 43.345807119320874], [5.088464740673092, 43.33253643103284]]]}",21197,56,96,4,"13",93,43.3798920489,5.04945402314
"U1314","Centre de distrib Port St Louis du Rhône","Centre de Distribution Alimentaire","HLM Le Vauban   13230 PORT ST LOUIS DU RHONE",43.397248,4.796308,"Hlm Vauban 13230 Port-Saint-Louis-du-Rhône",0.76,"locality","13078_A003_cf2bec","13078","13230","PORT-SAINT-LOUIS-DU-RHONE","BOUCHES-DU-RHONE","PROVENCE-ALPES-COTE D'AZUR","Chef-lieu canton",1,8341,8.7,"43.4148193741, 4.80679663589","{""type"": ""Polygon"", ""coordinates"": [[[4.847295122950995, 43.326855458088104], [4.835447840011944, 43.34226437016925], [4.832235562112101, 43.36686663267783], [4.75432142068505, 43.40938886794049], [4.734852309238815, 43.42972451334891], [4.749735120703335, 43.45950531732198], [4.764341586237724, 43.47373897008174], [4.77265918149773, 43.47739190801046], [4.800971966842768, 43.477825189321045], [4.815981041131491, 43.46981749592111], [4.82461511386842, 43.47284023351243], [4.838138835184184, 43.46256861988729], [4.82933468757055, 43.45999982466657], [4.8297563124807, 43.45655503210595], [4.841644824863346, 43.45090917264529], [4.840745617109666, 43.44751378459711], [4.818731197780371, 43.42511810541651], [4.816402298203267, 43.41861500249123], [4.841106326429093, 43.40360171344581], [4.833719488444703, 43.39488127241059], [4.854227771302758, 43.39369508144371], [4.850718007772413, 43.37933017672018], [4.833101209744817, 43.375463610375824], [4.866788980524139, 43.37045143605184], [4.882318887606361, 43.35686441628403], [4.9130426211461, 43.377409635168036], [4.912221281108662, 43.38685496042361], [4.919124094706046, 43.37702300597786], [4.860000668376694, 43.336715855612454], [4.857084155507271, 43.32693075112974], [4.847295122950995, 43.326855458088104]]]}",12756,78,28,2,"13",93,43.4148193741,4.80679663589
"U1315","Point alimentaire bébé Aix en provence","Point alimentation bébé","32 cours des arts et métiers   13100 Aix en provence",43.529836,5.453908,"32 Cours des Arts et Métiers 13100 Aix-en-Provence",0.93,"housenumber","13001_0130_10298b","13001","13080/13090/13100/13290/13540","AIX-EN-PROVENCE","BOUCHES-DU-RHONE","PROVENCE-ALPES-COTE D'AZUR","Sous-préfecture",236,18759,141.9,"43.5360708378, 5.39857444582","{""type"": ""Polygon"", ""coordinates"": [[[5.301002589064487, 43.446114936595045], [5.298483447817306, 43.45912014166257], [5.289915030001163, 43.4664209716371], [5.289305152894978, 43.47313929640353], [5.271657922982974, 43.48567937952667], [5.269571894227765, 43.495461784468105], [5.291801363625438, 43.512815860188134], [5.294161903103133, 43.51958864644784], [5.306781274750302, 43.51504557399661], [5.334287056175849, 43.51929068700474], [5.348489862538126, 43.53631136766636], [5.353078151296627, 43.535356845790574], [5.360388534510221, 43.539527672336725], [5.373639465300958, 43.54159697258545], [5.381736685108345, 43.56438222155725], [5.357502581819215, 43.58858516773918], [5.334503639199972, 43.59279961316724], [5.340577666414934, 43.59779077435936], [5.356852471345463, 43.603208911118976], [5.366322666316932, 43.61837800908917], [5.365338311584773, 43.6248537399574], [5.411258165812632, 43.622674235347056], [5.444232052261843, 43.6220815510641], [5.463795498283422, 43.613645829396354], [5.465090468146154, 43.57632119718141], [5.493953579853799, 43.566651101424284], [5.4974700218746, 43.56040394918012], [5.480426897839386, 43.536390980215145], [5.483114279738093, 43.53358399973296], [5.50630302329369, 43.532213650854594], [5.504571303335343, 43.5291030353668], [5.487468484003867, 43.52441959157315], [5.478661524445037, 43.525017247040914], [5.47950920131956, 43.51255771436222], [5.471441000141422, 43.51188671952746], [5.464782977867767, 43.50343285342143], [5.465241407724793, 43.49711245590296], [5.470883561927316, 43.49202427438368], [5.469146867785413, 43.489012382594154], [5.457415025614134, 43.47890947961258], [5.441786111562771, 43.47152166932406], [5.433593644617256, 43.473605155354555], [5.406891414357507, 43.47051996845833], [5.387538063190512, 43.46190210537749], [5.359344064117286, 43.47977418093231], [5.332813959530307, 43.48758500736634], [5.321151375148569, 43.48164277216635], [5.32750784439473, 43.46126384545828], [5.301002589064487, 43.446114936595045]]]}",13666,1,97,1,"13",93,43.5360708378,5.39857444582
